Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester,Dropout,is_female,has_internet_access,has_part_time_job,has_scholarship,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Parental_Education_Unknown
22.1,25000.0,3.36,86.1,2,20.4,5.5,0.96,0,0,0,1,1,0,0,0,0,0,1,0,0,0
20.7,25000.0,4.3,68.0,2,44.0,6.8,1.28,2,1,0,1,0,0,0,0,1,0,0,0,0,0
22.4,40183.0,4.4,70.9,0,48.9,5.5,1.68,0,0,0,1,1,0,0,0,0,0,0,1,0,0
24.4,29740.5,4.0,82.2,2,38.6,5.5,1.78,0,1,0,1,0,0,0,1,0,0,1,0,0,0
20.5,25319.0,4.19,75.7,1,23.0,7.0,1.48,3,0,1,1,0,0,1,0,0,0,0,0,0,0
20.5,25000.0,4.11,89.1,2,47.1,6.0,2.52,2,0,0,1,0,1,1,0,0,0,0,0,0,1
24.5,25000.0,3.0,78.2,1,37.4,7.3,0.64,3,0,0,1,1,1,0,1,0,0,0,0,0,0
22.7,25000.0,2.12,86.4,1,34.0,6.5,1.79,0,0,1,1,0,1,0,0,0,0,1,0,0,0
20.0,57413.0,4.07,97.5,3,52.1,4.2,3.08,0,0,0,1,0,0,0,1,0,0,1,0,0,0
22.2,44930.0,2.98,82.2,1,19.7,6.7,1.59,0,0,1,1,0,0,0,0,0,1,0,1,0,0
20.0,25000.0,5.27,73.9,3,39.3,7.2,1.52,2,1,1,1,1,0,1,0,0,0,0,0,0,0
20.0,46056.0,2.37,85.2,6,20.2,8.0,0.0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
21.5,50644.0,3.54,84.3,1,22.7,4.6,2.56,3,0,1,1,0,1,0,1,0,0,0,0,0,1
17.0,27000.0,4.2,84.0,1,61.2,4.8,2.68,0,0,1,1,0,1,1,0,0,0,0,0,0,0
17.2,29740.5,4.0,92.9,1,36.0,5.5,2.6,2,0,0,1,1,0,0,0,1,0,0,0,0,0
19.8,26246.0,3.49,72.5,2,52.2,7.0,2.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.8,28037.0,4.24,90.0,2,36.5,4.6,2.55,0,0,1,1,0,1,0,0,1,0,1,0,0,0
21.7,25000.0,4.8,77.2,0,34.8,4.3,1.99,3,0,1,1,1,1,1,0,0,0,0,1,0,0
19.0,37058.0,4.99,93.0,2,22.5,4.7,3.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17.9,35168.0,4.48,65.0,1,41.7,5.6,1.71,0,1,0,1,0,0,1,0,0,0,0,0,0,0
24.2,38833.0,6.35,99.8,2,30.3,3.9,2.63,0,0,1,1,0,1,0,1,0,0,0,0,0,0
20.5,35149.0,3.48,79.8,0,31.0,6.3,2.09,2,0,0,1,1,0,0,0,0,0,0,1,0,0
21.1,46069.0,6.25,72.3,2,26.9,2.4,4.0,2,0,1,1,1,1,0,1,0,0,0,0,0,0
17.9,26700.0,4.9,89.3,3,28.8,4.0,3.14,3,0,1,1,0,1,1,0,0,0,0,0,0,0
19.8,33559.0,4.32,86.1,3,30.3,5.8,0.42,3,1,1,1,1,0,1,0,0,0,0,0,1,0
21.2,25000.0,4.42,85.6,2,31.5,3.8,3.47,1,0,1,1,0,0,0,1,0,0,0,1,0,0
18.5,25000.0,5.22,89.4,0,29.4,4.7,1.66,2,0,1,1,0,0,0,0,0,1,0,0,0,0
