Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester,Dropout,is_female,has_internet_access,has_part_time_job,has_scholarship,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Parental_Education_Unknown,study_efficiency,risk_score
22.1,25000.0,3.36,86.1,2,20.4,5.5,0.96,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.24870466321243523,-1.1099999999999994
20.7,25000.0,4.3,68.0,2,44.0,6.8,1.28,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0.26666666666666666,2.000000000000001
22.4,40183.0,4.4,70.9,0,48.9,5.5,1.68,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.3428571428571428,-1.5900000000000007
24.4,29740.5,4.0,82.2,2,38.6,5.5,1.78,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.39555555555555555,-0.7200000000000006
20.5,25319.0,4.19,75.7,1,23.0,7.0,1.48,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0.3155650319829424,0.4299999999999997
20.5,25000.0,4.11,89.1,2,47.1,6.0,2.52,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0.5466377440347071,-0.9100000000000001
24.5,25000.0,3.0,78.2,1,37.4,7.3,0.64,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0.18285714285714286,0.4800000000000004
22.7,25000.0,2.12,86.4,1,34.0,6.5,1.79,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.683206106870229,-1.1400000000000006
20.0,57413.0,4.07,97.5,3,52.1,4.2,3.08,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.673960612691466,-2.55
22.2,44930.0,2.98,82.2,1,19.7,6.7,1.59,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.45689655172413796,-0.5200000000000005
20.0,25000.0,5.27,73.9,3,39.3,7.2,1.52,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0.2634315424610052,2.8099999999999987
20.0,46056.0,2.37,85.2,6,20.2,8.0,0.0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0.0,5.48
21.5,50644.0,3.54,84.3,1,22.7,4.6,2.56,3,0,1,1,0,1,0,1,0,0,0,0,0,1,0.6336633663366337,-2.83
17.0,27000.0,4.2,84.0,1,61.2,4.8,2.68,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.5702127659574469,-2.6000000000000005
17.2,29740.5,4.0,92.9,1,36.0,5.5,2.6,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0.5777777777777778,-2.790000000000001
19.8,26246.0,3.49,72.5,2,52.2,7.0,2.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7042606516290727,1.75
18.8,28037.0,4.24,90.0,2,36.5,4.6,2.55,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0.5379746835443038,-2.4000000000000004
21.7,25000.0,4.8,77.2,0,34.8,4.3,1.99,3,0,1,1,1,1,1,0,0,0,0,1,0,0,0.3754716981132076,-3.420000000000001
19.0,37058.0,4.99,93.0,2,22.5,4.7,3.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5919854280510018,-2.6000000000000005
17.9,35168.0,4.48,65.0,1,41.7,5.6,1.71,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.34337349397590355,0.09999999999999964
24.2,38833.0,6.35,99.8,2,30.3,3.9,2.63,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.38394160583941606,-4.08
20.5,35149.0,3.48,79.8,0,31.0,6.3,2.09,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0.5251256281407035,-1.6799999999999997
21.1,46069.0,6.25,72.3,2,26.9,2.4,4.0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0.5925925925925926,-2.829999999999999
17.9,26700.0,4.9,89.3,3,28.8,4.0,3.14,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0.5814814814814815,-1.9299999999999997
19.8,33559.0,4.32,86.1,3,30.3,5.8,0.42,3,1,1,1,1,0,1,0,0,0,0,0,1,0,0.08713692946058091,0.19000000000000128
21.2,25000.0,4.42,85.6,2,31.5,3.8,3.47,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.7052845528455285,-2.759999999999999
18.5,25000.0,5.22,89.4,0,29.4,4.7,1.66,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0.2902097902097902,-4.240000000000001
21.8,66367.0,3.07,82.3,4,11.3,5.3,1.01,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0.28291316526610644,1.0700000000000003
19.7,25000.0,4.19,79.7,1,36.5,9.3,1.15,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0.24520255863539442,2.33
20.4,29740.5,4.0,72.7,3,28.5,5.5,2.78,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.6177777777777778,1.2299999999999995
19.7,25000.0,6.08,81.1,7,5.0,5.9,3.96,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0.601823708206687,4.790000000000001
25.1,29740.5,4.0,77.9,3,10.9,5.5,2.56,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0.5688888888888889,0.7099999999999991
21.0,34785.0,6.6,81.9,2,24.3,3.6,3.62,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5098591549295775,-2.5900000000000016
18.7,29740.5,4.0,67.9,1,45.3,5.5,1.64,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0.3644444444444444,-0.2900000000000009
22.8,25000.0,2.19,95.9,2,37.3,5.2,0.76,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0.2825278810408922,-2.3899999999999997
18.3,29740.5,4.0,61.0,1,21.8,5.5,0.81,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.18000000000000002,0.40000000000000036
21.5,26034.0,2.9,80.9,1,27.7,7.6,1.61,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4735294117647059,0.5099999999999998
17.0,25000.0,6.16,78.5,0,43.3,4.7,3.66,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0.5495495495495496,-3.1499999999999995
18.1,77705.0,2.25,70.8,1,22.6,5.0,2.16,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.7854545454545455,-1.08
21.4,29740.5,4.0,85.0,3,17.0,5.5,3.1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0.6888888888888889,0.0
22.6,25000.0,5.91,74.5,2,40.6,5.6,2.29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.35725429017160687,0.14999999999999947
21.4,41216.0,7.6,85.0,1,43.4,4.4,1.62,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0.2,-3.0999999999999996
20.7,49772.0,3.86,95.6,6,22.7,6.7,2.34,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.536697247706422,3.1400000000000006
20.3,41183.0,4.15,72.1,2,35.9,8.4,2.32,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0.4989247311827956,3.1900000000000013
17.7,25000.0,2.48,89.0,1,29.5,7.4,0.63,3,0,1,1,0,1,0,0,1,0,0,1,0,0,0.21140939597315436,-0.5
19.4,25682.0,3.51,69.7,2,22.9,7.9,1.58,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.39401496259351626,2.9299999999999997
20.0,25000.0,6.84,75.6,1,44.0,5.2,3.36,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0.45776566757493187,-1.3599999999999994
23.3,25000.0,5.13,86.5,1,22.0,3.6,4.0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0.7104795737122558,-4.050000000000001
21.8,25000.0,5.58,79.8,2,39.1,1.9,4.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.6578947368421053,-4.08
17.1,27754.0,4.84,93.6,3,30.8,1.8,2.8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0.5243445692883895,-4.56
21.7,25000.0,5.39,83.0,1,27.9,5.1,4.0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0.6791171477079797,-2.200000000000001
20.2,26368.0,6.52,86.2,1,23.3,6.4,2.89,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.4116809116809117,-1.2200000000000006
19.5,25000.0,3.41,76.5,2,18.2,7.0,2.28,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0.5831202046035805,1.3499999999999996
22.3,33661.0,4.96,73.7,4,27.0,5.9,2.16,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0.39560439560439564,2.5300000000000002
23.3,25000.0,3.1,72.8,0,23.9,4.2,0.35,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.09722222222222221,-3.079999999999999
23.0,35396.0,1.35,74.5,0,31.1,6.7,0.68,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0.3675675675675676,-0.75
19.2,56894.0,4.34,76.4,1,15.6,3.3,2.64,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5454545454545455,-3.3400000000000007
20.3,77162.0,4.16,91.3,3,28.2,3.5,2.09,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0.4484978540772532,-2.629999999999999
21.7,25000.0,3.9,85.2,5,34.9,6.6,0.26,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0.05909090909090909,3.08
23.1,25000.0,3.17,71.8,2,21.9,3.3,0.73,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.1989100817438692,-1.88
19.9,25000.0,4.18,78.7,2,38.9,4.1,3.73,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0.7970085470085471,-1.7700000000000005
20.6,39191.0,4.55,81.8,3,40.2,3.7,2.03,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0.40198019801980195,-1.4799999999999995
